extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
2.15,12,78,9.77842,21.834,12.8166
2.15,10,121,6.03367,15.6183,12.2517
2.15,11,186,7.78352,21.056,14.2561
2.15,9,165,7.60726,15.1983,10.0307
2.15,12,35,5.7252,19.6747,11.6188
2.15,9,46,8.10785,15.9039,11.3474
2.15,9,46,6.60383,14.1821,9.28123
2.15,8,65,6.96977,14.3738,10.4093
2.15,11,69,7.06741,17.1325,14.0375
2.15,10,74,6.79077,17.2438,13.4707
2.15,11,62,8.25243,19.8353,14.434
2.15,8,63,5.57134,13.7582,10.7943
2.15,12,69,7.06889,19.9465,12.4689
2.15,14,84,9.80629,22.5846,17.437
2.15,15,77,10.9544,27.5946,18.9034
2.15,11,103,7.62737,19.2642,14.9587
2.15,11,119,7.29524,17.9909,12.9159
2.15,9,56,7.04034,15.6291,10.6257
2.15,11,59,5.22502,17.4718,13.1562
2.15,17,88,9.75207,31.7515,21.086
2.15,14,83,11.0508,25.6991,18.3855
2.15,8,62,6.76876,13.6778,10.144
2.15,11,89,6.7018,16.3224,10.9965
2.15,13,75,8.36729,24.8441,15.1821
2.15,9,61,8.17766,16.8896,10.4695
2.15,14,50,9.15887,24.3489,17.6924
2.15,12,107,8.47578,21.2852,15.0656
2.15,13,90,9.51152,24.8871,16.6784
2.15,9,44,6.93937,15.053,10.5927
2.15,10,156,7.09894,18.2302,12.3902
2.15,13,91,8.5361,23.8323,15.6386
2.15,12,72,8.80151,21.5521,17.0083
2.15,9,159,6.52638,16.0903,10.3984
2.15,12,83,6.89399,21.9892,14.9271
2.15,8,42,7.10338,13.5334,10.3775
2.15,7,35,7.30702,12.2403,10.0046
2.15,15,183,11.3843,27.3532,19.9546
2.15,9,133,6.20861,13.4044,8.82493
