extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
0.95,17,165,9.09077,14.969,10.5788
0.95,16,37,9.46735,14.2049,9.89774
0.95,21,57,9.51776,18.1346,12.783
0.95,22,170,8.53381,19.2702,13.8646
0.95,16,95,7.93558,13.8935,11.604
0.95,14,31,7.86934,11.9017,8.18828
0.95,15,51,7.32052,12.5249,9.97953
0.95,18,56,8.53964,15.2117,10.9621
0.95,18,57,8.70508,15.7813,9.94865
0.95,17,67,9.34795,14.7801,10.7668
0.95,12,27,6.79564,10.1774,7.20852
0.95,22,148,9.07698,19.1488,13.533
0.95,17,68,8.4608,14.2878,10.5285
0.95,17,51,7.59967,14.4329,9.427
0.95,13,40,7.91465,11.0922,7.64783
0.95,17,127,10.4101,14.9696,10.2438
0.95,13,37,6.2885,11.0647,8.051
0.95,15,62,7.59592,13.0412,7.90622
0.95,21,108,11.0046,18.3798,12.2584
0.95,20,116,8.081,17.6754,13.2454
0.95,13,38,7.94365,10.9196,7.31021
0.95,14,68,7.27413,11.9941,8.33775
0.95,16,43,7.06394,13.8075,9.84928
0.95,14,75,8.20769,11.5055,7.11783
0.95,17,79,9.39289,15.0015,11.1955
0.95,16,74,8.58332,13.4137,8.88511
0.95,16,48,8.01982,14.185,10.3599
0.95,19,214,8.65881,16.6861,12.5834
0.95,16,73,7.92138,14.0512,10.4477
0.95,16,260,7.20746,13.3693,9.5769
0.95,19,90,8.78823,16.3955,13.1331
0.95,22,164,9.74052,19.41,14.1302
0.95,25,398,8.93341,22.5636,17.6271
0.95,15,65,7.7265,13.0633,9.06417
0.95,19,109,10.2739,16.5518,11.6245
0.95,13,28,7.02757,10.7672,7.91426
0.95,15,27,6.59445,12.5015,8.41671
0.95,18,74,8.14415,15.8289,10.7433
0.95,12,24,6.82916,10.1733,6.83837
0.95,13,28,6.62979,10.657,6.63378
0.95,13,27,6.99636,11.1697,8.4988
0.95,16,87,7.64825,14.2002,10.0736
